,NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
89,marcus tavernier,Tavernier,Bournemouth,12,MF,55,24,30,25,2118,3,4,0,0,3,0,3.9,5.2,0,38,8,0,89,529.5,706.0,70.6,23.797752808988765,543.0769230769231,407.3076923076923,-0.8999999999999999,-1.2000000000000002
90,youri tielemans,Tielemans,Aston Villa,4,MF,55,26,32,17,1622,2,6,0,0,3,0,1.3,2.6,0,27,4,0,77,270.3333333333333,811.0,50.6875,21.064935064935064,1247.6923076923076,623.8461538461538,0.7,3.4
91,dominic calvert-lewin,Calvert-Lewin,Everton,15,FW,60,26,32,26,2171,7,2,2,0,2,0,12.9,3.1,0,27,13,0,101,1085.5,310.14285714285717,67.84375,21.495049504950494,168.29457364341084,700.3225806451612,-5.9,-1.1
92,tariq lamptey,Lamptey,Brighton,11,DF,45,22,19,10,914,0,3,0,0,3,0,0.4,1.2,0,20,1,0,31,304.6666666666667,3510.0,48.10526315789474,29.483870967741936,2285.0,761.6666666666667,-0.4,1.8
93,nathan collins,Collins,Brentford,16,DF,45,22,32,29,2652,1,1,0,0,3,0,1.7,2.2,0,51,7,0,84,2652.0,2652.0,82.875,31.571428571428573,1560.0,1205.4545454545453,-0.7,-1.2000000000000002
94,richarlison de andrade,Richarlison,Spurs,5,FW,70,26,28,18,1491,11,4,0,0,3,0,9.6,2.1,0,18,7,0,122,372.75,135.54545454545453,53.25,12.221311475409836,155.3125,710.0,1.4000000000000004,1.9
95,kieran trippier,Trippier,Newcastle,7,DF,60,32,28,26,2236,1,10,0,0,5,0,0.7,7.5,0,43,6,0,111,223.6,2236.0,79.85714285714286,20.144144144144143,3194.2857142857147,298.1333333333333,0.30000000000000004,2.5
96,matheus franca de oliveira,M.França,Crystal Palace,10,MF,45,19,10,1,232,0,1,0,0,1,0,0.4,0.9,0,7,0,0,16,232.0,3510.0,23.2,14.5,580.0,257.77777777777777,-0.4,0.09999999999999998
97,nicolas jackson,N.Jackson,Chelsea,6,FW,75,22,35,31,2799,14,5,0,0,10,0,18.6,4.3,0,48,9,0,142,559.8,199.92857142857142,79.97142857142858,19.711267605633804,150.48387096774192,650.9302325581396,-4.600000000000001,0.7000000000000002
98,hugo bueno lopez,H.Bueno,Wolves,14,DF,45,20,22,7,741,0,0,0,0,1,0,0.3,0.8,1,16,2,0,29,3510.0,3510.0,33.68181818181818,25.551724137931036,2470.0,926.25,-0.3,-0.8
99,mason mount,Mount,Man Utd,8,MF,65,24,14,5,516,1,0,0,0,2,0,0.4,0.3,0,13,1,0,23,3510.0,516.0,36.857142857142854,22.434782608695652,1290.0,1720.0,0.6,-0.3
100,manuel akanji,Akanji,Man City,1,DF,55,28,30,28,2511,2,0,0,0,4,1,1.9,0.5,0,23,11,0,112,3510.0,1255.5,83.7,22.419642857142858,1321.578947368421,5022.0,0.10000000000000009,-0.5
101,rayan ait-nouri,Aït-Nouri,Wolves,14,DF,45,22,33,29,2329,2,1,0,0,7,0,3.3,2.4,0,43,3,0,77,2329.0,1164.5,70.57575757575758,30.246753246753247,705.7575757575758,970.4166666666667,-1.2999999999999998,-1.4
102,alphonse areola,Areola,West Ham,9,GK,45,30,31,31,2699,0,0,0,0,1,0,0.0,0.0,1,53,4,138,116,3510.0,3510.0,87.06451612903226,23.267241379310345,35100.0,35100.0,0.0,0.0
103,dean henderson,Henderson,Crystal Palace,10,GK,45,26,18,18,1620,0,0,0,0,2,0,0.0,0.0,2,30,4,58,48,3510.0,3510.0,90.0,33.75,35100.0,35100.0,0.0,0.0
104,matt targett,Targett,Newcastle,7,DF,40,27,3,1,78,0,0,0,0,1,0,0.0,0.0,0,4,0,0,2,3510.0,3510.0,26.0,39.0,35100.0,35100.0,0.0,0.0
105,reece james,James,Chelsea,6,DF,50,23,10,5,419,0,2,0,0,2,2,0.3,1.7,0,13,0,0,11,209.5,3510.0,41.9,38.09090909090909,1396.6666666666667,246.47058823529412,-0.3,0.30000000000000004
106,bruno guimaraes rodriguez moura,Bruno G.,Newcastle,7,MF,65,25,34,34,2931,7,8,0,0,8,0,4.1,3.9,0,0,0,0,0,366.375,418.7142857142857,86.20588235294117,270.0,714.8780487804879,751.5384615384615,2.9000000000000004,4.1
107,lewis dobbin,Dobbin,Aston Villa,4,MF,50,20,12,1,232,1,0,0,0,1,0,0.3,0.5,0,3,1,0,18,3510.0,232.0,19.333333333333332,12.88888888888889,773.3333333333334,464.0,0.7,-0.5
108,rodrigo 'rodri' hernandez,Rodrigo,Man City,1,MF,65,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0,325.6666666666667,366.375,86.20588235294117,270.0,714.8780487804879,751.5384615384615,3.9000000000000004,5.1
109,eddie nketiah,Nketiah,Arsenal,2,FW,60,24,27,10,1082,5,2,0,0,3,0,4.5,0.8,0,10,6,0,71,541.0,216.4,40.074074074074076,15.23943661971831,240.44444444444446,1352.5,0.5,1.2
110,rodrigo martins gomes,R.Gomes,Wolves,14,MF,55,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0,325.6666666666667,366.375,86.20588235294117,270.0,714.8780487804879,751.5384615384615,3.9000000000000004,5.1
111,bobby clark,Clark,Liverpool,3,MF,45,18,5,1,89,0,0,0,0,0,0,0.1,0.0,0,0,0,0,5,3510.0,3510.0,17.8,17.8,890.0,35100.0,-0.1,0.0
112,guido rodriguez,G.Rodríguez,West Ham,9,MF,50,27,34,34,2931,8,9,0,0,8,1,4.1,3.9,0,0,0,0,0,325.6666666666667,366.375,86.20588235294117,270.0,714.8780487804879,751.5384615384615,3.9000000000000004,5.1
113,rodrigo muniz carvalho,Muniz,Fulham,13,FW,60,22,26,18,1593,8,1,0,0,1,0,4.1,2.0,0,0,0,0,0,1593.0,199.125,61.26923076923077,270.0,388.5365853658537,796.5,3.9000000000000004,-1.0
114,rodrigo bentancur,Bentancur,Spurs,5,MF,50,26,23,13,1005,1,1,0,0,7,0,1.9,0.5,0,0,0,0,0,1005.0,1005.0,43.69565217391305,270.0,528.9473684210526,2010.0,-0.8999999999999999,0.5
115,danny welbeck,Welbeck,Brighton,11,FW,55,32,29,21,1693,5,1,0,0,4,0,5.3,1.7,0,28,8,0,79,1693.0,338.6,58.37931034482759,21.430379746835442,319.433962264151,995.8823529411765,-0.2999999999999998,-0.7
116,ben johnson,Johnson,Ipswich,20,DF,40,23,14,4,544,0,0,0,0,1,0,0.2,0.0,0,16,1,0,17,3510.0,3510.0,38.857142857142854,32.0,2720.0,35100.0,-0.2,0.0
117,jorge luiz frello filho,Jorginho,Arsenal,2,MF,50,31,24,10,921,0,2,0,0,1,0,0.1,1.4,0,11,4,0,44,460.5,3510.0,38.375,20.931818181818183,9210.0,657.8571428571429,-0.1,0.6000000000000001
118,conor bradley,Bradley,Liverpool,3,DF,50,20,11,10,753,1,3,0,0,2,0,0.9,1.5,1,7,3,0,50,251.0,753.0,68.45454545454545,15.06,836.6666666666666,502.0,0.09999999999999998,1.5
119,taiwo awoniyi,Awoniyi,Nott'm Forest,17,FW,60,25,20,12,1042,6,3,0,0,2,0,4.7,1.7,0,21,3,0,67,347.3333333333333,173.66666666666666,52.1,15.552238805970148,221.70212765957447,612.9411764705883,1.2999999999999998,1.3
120,ollie watkins,Watkins,Aston Villa,4,FW,90,27,37,37,3217,19,13,0,0,4,0,16.8,7.3,0,56,7,0,228,247.46153846153845,169.31578947368422,86.94594594594595,14.109649122807017,191.48809523809524,440.68493150684935,2.1999999999999993,5.7
121,bart verbruggen,Verbruggen,Brighton,11,GK,45,20,21,21,1890,0,0,0,0,3,0,0.0,0.0,0,28,4,65,68,3510.0,3510.0,90.0,27.794117647058822,35100.0,35100.0,0.0,0.0
122,diogo dalot teixeira,Dalot,Man Utd,8,DF,50,24,36,35,3174,2,3,0,0,6,1,1.7,2.9,0,55,8,0,111,1058.0,1587.0,88.16666666666667,28.594594594594593,1867.0588235294117,1094.4827586206898,0.30000000000000004,0.10000000000000009
123,jurrien timber,J.Timber,Arsenal,2,DF,55,22,2,1,71,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0,3510.0,3510.0,35.5,270.0,35100.0,35100.0,0.0,0.0
124,ryan gravenberch,Gravenberch,Liverpool,3,MF,50,21,26,12,1121,1,0,0,0,0,0,2.0,0.9,0,17,3,0,45,3510.0,1121.0,43.11538461538461,24.91111111111111,560.5,1245.5555555555554,-1.0,-0.9
125,diego carlos santos silva,Diego Carlos,Aston Villa,4,DF,45,30,27,20,1816,0,0,0,0,4,0,1.9,0.1,0,36,6,0,55,3510.0,3510.0,67.25925925925925,33.018181818181816,955.7894736842105,18160.0,-1.9,-0.1
126,david ozoh,Ozoh,Crystal Palace,10,MF,45,18,9,0,156,0,0,0,0,1,0,0.0,0.0,0,5,0,0,8,3510.0,3510.0,17.333333333333332,19.5,35100.0,35100.0,0.0,0.0
127,lisandro martinez,Martinez,Man Utd,8,DF,45,25,11,8,646,0,1,0,0,3,0,0.0,0.1,1,12,1,0,15,646.0,3510.0,58.72727272727273,43.06666666666667,35100.0,6460.0,0.0,0.9
128,luke harris,Harris,Fulham,13,MF,45,18,1,0,75,0,0,0,0,0,0,0.3,0.0,0,5,0,0,2,3510.0,3510.0,75.0,37.5,250.0,35100.0,-0.3,0.0
129,will hughes,Hughes,Crystal Palace,10,MF,50,28,30,23,1891,0,1,0,0,6,0,0.3,1.1,0,38,8,0,61,1891.0,3510.0,63.03333333333333,31.0,6303.333333333334,1719.090909090909,-0.3,-0.10000000000000009
130,alfie gilchrist,Gilchrist,Chelsea,6,DF,40,19,11,2,207,1,0,0,0,1,0,0.3,0.0,0,6,1,0,20,3510.0,207.0,18.818181818181817,10.35,690.0,35100.0,0.7,0.0
131,diogo teixeira da silva,Diogo J.,Liverpool,3,MF,75,26,21,14,1145,10,3,0,0,3,1,5.3,3.3,0,11,5,0,110,381.6666666666667,114.5,54.523809523809526,10.409090909090908,216.03773584905662,346.969696969697,4.7,-0.2999999999999998
132,andre onana,Onana,Man Utd,8,GK,50,27,38,38,3420,0,0,0,0,5,0,0.0,0.1,0,58,9,149,133,3510.0,3510.0,90.0,25.714285714285715,35100.0,34200.0,0.0,-0.1
133,martin dubravka,Dúbravka,Newcastle,7,GK,45,34,23,22,1985,0,0,0,0,1,0,0.0,0.1,0,42,4,88,75,3510.0,3510.0,86.30434782608695,26.466666666666665,35100.0,19850.0,0.0,-0.1
134,facundo buonanotte,Buonanotte,Leicester,20,MF,50,18,27,17,1364,3,1,0,0,7,0,2.4,1.8,0,19,6,0,57,1364.0,454.6666666666667,50.51851851851852,23.92982456140351,568.3333333333334,757.7777777777777,0.6000000000000001,-0.8
135,bruno borges fernandes,B.Fernandes,Man Utd,8,MF,85,28,35,35,3118,10,8,4,1,9,0,10.0,11.8,0,52,7,0,166,389.75,311.8,89.08571428571429,18.783132530120483,311.8,264.2372881355932,0.0,-3.8000000000000007
136,joel ward,Ward,Crystal Palace,10,DF,45,33,26,23,1980,0,1,0,0,4,0,0.9,0.2,1,34,5,0,54,1980.0,3510.0,76.15384615384616,36.666666666666664,2200.0,9900.0,-0.9,0.8
137,emerson leite de souza junior,E.Royal,Spurs,5,DF,45,24,22,11,1161,1,0,0,0,4,0,0.2,0.4,0,31,0,0,27,3510.0,1161.0,52.77272727272727,43.0,5805.0,2902.5,0.8,-0.4
138,adama traore,Adama,Fulham,13,MF,50,20,8,1,377,0,0,0,0,0,0,0.3,0.5,0,13,0,0,36,3510.0,3510.0,47.125,10.472222222222221,1256.6666666666667,754.0,-0.3,-0.5
139,nicolas dominguez,Dominguez,Nott'm Forest,17,MF,50,25,26,19,1495,2,2,0,0,4,0,1.3,1.0,0,27,6,0,67,747.5,747.5,57.5,22.313432835820894,1150.0,1495.0,0.7,1.0
140,william saliba,Saliba,Arsenal,2,DF,60,22,38,38,3420,2,1,0,0,4,0,1.6,0.2,0,29,18,0,164,3420.0,1710.0,90.0,20.853658536585368,2137.5,17100.0,0.3999999999999999,0.8
141,jan paul van hecke,Van Hecke,Brighton,11,DF,45,23,28,26,2369,0,0,0,0,4,0,1.2,0.9,0,38,5,0,61,3510.0,3510.0,84.60714285714286,38.83606557377049,1974.1666666666667,2632.222222222222,-1.2,-0.9
142,bryan gil salvatierra,Bryan,Spurs,5,MF,50,22,11,2,209,0,0,0,0,0,0,0.8,0.2,0,11,0,0,12,3510.0,3510.0,19.0,17.416666666666668,261.25,1045.0,-0.8,-0.2
143,emerson palmieri dos santos,Emerson,West Ham,9,DF,45,24,22,11,1161,1,0,0,0,4,0,0.2,0.4,0,31,0,0,27,3510.0,1161.0,52.77272727272727,43.0,5805.0,2902.5,0.8,-0.4
144,enzo fernandez,Enzo,Chelsea,6,MF,50,22,28,26,2209,3,2,1,1,7,0,6.2,3.4,0,47,5,0,77,1104.5,736.3333333333334,78.89285714285714,28.68831168831169,356.2903225806451,649.7058823529412,-3.2,-1.4
145,antoine semenyo,Semenyo,Bournemouth,12,MF,55,23,33,25,2105,8,2,0,0,6,0,4.6,3.2,0,33,8,0,107,1052.5,263.125,63.78787878787879,19.672897196261683,457.60869565217394,657.8125,3.4000000000000004,-1.2000000000000002
146,elliot anderson,Anderson,Nott'm Forest,17,MF,50,20,21,10,1027,0,2,0,0,3,0,1.5,1.9,0,14,5,0,42,513.5,3510.0,48.904761904761905,24.452380952380953,684.6666666666666,540.5263157894738,-1.5,0.10000000000000009
147,pascal groß,Gross,Brighton,11,MF,65,32,36,34,3114,4,10,1,0,6,0,6.5,8.1,0,50,7,0,153,311.4,778.5,86.5,20.352941176470587,479.0769230769231,384.44444444444446,-2.5,1.9000000000000004
148,maxwel cornet,Cornet,West Ham,9,MF,50,26,7,1,112,1,0,0,0,0,0,0.4,0.2,0,3,0,0,13,3510.0,112.0,16.0,8.615384615384615,280.0,560.0,0.6,-0.2
149,mark travers,Travers,Bournemouth,12,GK,45,24,4,4,360,0,0,0,0,0,0,0.0,0.0,0,5,2,13,19,3510.0,3510.0,90.0,18.94736842105263,35100.0,35100.0,0.0,0.0
150,romain faivre,Faivre,Bournemouth,12,MF,50,25,5,0,41,0,0,0,0,1,0,0.2,0.0,0,1,0,0,4,3510.0,3510.0,8.2,10.25,205.0,35100.0,-0.2,0.0
151,levi colwill,Colwill,Chelsea,6,DF,45,20,23,20,1797,1,1,0,0,2,0,1.3,1.2,0,26,5,0,65,1797.0,1797.0,78.1304347826087,27.646153846153847,1382.3076923076922,1497.5,-0.30000000000000004,-0.19999999999999996
152,morgan gibbs-white,Gibbs-White,Nott'm Forest,17,MF,65,23,37,35,3156,5,10,1,0,9,0,6.9,8.4,0,59,5,0,142,315.6,631.2,85.29729729729729,22.225352112676056,457.39130434782606,375.7142857142857,-1.9000000000000004,1.5999999999999996
153,lewis miley,Miley,Newcastle,7,MF,50,17,17,14,1202,1,3,0,0,1,0,1.2,1.7,0,29,1,0,44,400.6666666666667,1202.0,70.70588235294117,27.318181818181817,1001.6666666666667,707.0588235294118,-0.19999999999999996,1.3
154,james garner,Garner,Everton,15,MF,50,22,37,34,3004,1,2,0,0,7,0,2.7,4.6,0,47,11,0,87,1502.0,3004.0,81.1891891891892,34.52873563218391,1112.5925925925926,653.0434782608696,-1.7000000000000002,-2.5999999999999996
155,mads roerslev rasmussen,Roerslev,Brentford,16,DF,45,24,34,22,1985,1,2,0,0,1,0,0.9,1.8,0,40,5,0,75,992.5,1985.0,58.38235294117647,26.466666666666665,2205.5555555555557,1102.7777777777778,0.09999999999999998,0.19999999999999996
156,lucas digne,Digne,Aston Villa,4,DF,45,30,33,27,2410,1,3,0,0,7,0,1.1,4.1,0,41,6,0,85,803.3333333333334,2410.0,73.03030303030303,28.352941176470587,2190.9090909090905,587.8048780487806,-0.10000000000000009,-1.0999999999999996
157,abdoulaye doucoure,A.Doucoure,Everton,15,MF,55,30,32,32,2629,7,1,0,0,7,0,8.8,2.9,0,36,12,0,116,2629.0,375.57142857142856,82.15625,22.663793103448278,298.75,906.551724137931,-1.8000000000000007,-1.9
158,sasa lukic,Lukić,Fulham,13,MF,50,26,24,13,1122,1,0,0,0,3,0,1.6,0.8,0,20,5,0,43,3510.0,1122.0,46.75,26.093023255813954,701.25,1402.5,-0.6000000000000001,-0.8
159,sasa kalajdzic,Kalajdžić,Wolves,14,FW,50,26,11,1,166,2,0,0,0,0,0,1.1,1.0,0,2,1,0,24,3510.0,83.0,15.090909090909092,6.916666666666667,150.9090909090909,166.0,0.8999999999999999,-1.0
160,darwin nunez ribeiro,Darwin,Liverpool,3,FW,75,24,36,22,2047,11,8,0,1,9,0,16.3,6.0,0,25,6,0,132,255.875,186.0909090909091,56.861111111111114,15.507575757575758,125.58282208588956,341.1666666666667,-5.300000000000001,2.0
161,max aarons,Aarons,Bournemouth,12,DF,45,23,20,13,1237,0,1,0,0,1,0,0.0,0.8,0,35,2,0,28,1237.0,3510.0,61.85,44.17857142857143,35100.0,1546.25,0.0,0.19999999999999996
162,vladimir coufal,Coufal,West Ham,9,DF,45,30,36,36,3132,0,7,0,0,7,1,0.3,4.0,0,70,4,0,85,447.42857142857144,3510.0,87.0,36.84705882352941,10440.0,783.0,-0.3,3.0
163,joe gomez,Gomez,Liverpool,3,DF,50,26,32,17,1786,0,1,0,0,5,0,0.8,1.3,0,19,7,0,76,1786.0,3510.0,55.8125,23.5,2232.5,1373.8461538461538,-0.8,-0.30000000000000004
164,dango ouattara,O.Dango,Bournemouth,12,MF,50,21,30,12,1229,1,2,0,0,3,0,2.6,1.5,0,24,5,0,56,614.5,1229.0,40.96666666666667,21.946428571428573,472.6923076923077,819.3333333333334,-1.6,0.5
165,ethan nwaneri,Nwaneri,Arsenal,2,MF,45,16,1,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,3510.0,3510.0,14.0,14.0,35100.0,35100.0,0.0,0.0
166,curtis jones,Jones,Liverpool,3,MF,55,22,23,14,1167,1,1,0,0,3,1,2.6,0.7,0,19,2,0,40,1167.0,1167.0,50.73913043478261,29.175,448.8461538461538,1667.1428571428573,-1.6,0.30000000000000004
167,bernardo veiga de carvalho e silva,Bernardo,Man City,1,MF,65,28,33,29,2578,6,9,0,0,8,0,3.7,7.6,0,26,10,0,141,286.44444444444446,429.6666666666667,78.12121212121212,18.28368794326241,696.7567567567568,339.2105263157895,2.3,1.4000000000000004
168,kaine kesler-hayden,Kesler-Hayden,Aston Villa,4,DF,40,20,3,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,3510.0,3510.0,2.0,2.0,35100.0,35100.0,0.0,0.0
169,lewis hall,Hall,Newcastle,7,DF,45,18,18,8,781,1,0,0,0,2,0,0.3,0.3,0,12,2,0,38,3510.0,781.0,43.388888888888886,20.55263157894737,2603.3333333333335,2603.3333333333335,0.7,-0.3
170,raheem sterling,Sterling,Chelsea,6,MF,70,28,31,22,1978,8,4,0,0,7,0,6.5,4.5,0,38,5,0,123,494.5,247.25,63.806451612903224,16.08130081300813,304.3076923076923,439.55555555555554,1.5,-0.5
171,leander dendoncker,Dendoncker,Aston Villa,4,MF,45,28,8,1,119,1,0,0,0,0,0,0.7,0.0,0,3,0,0,20,3510.0,119.0,14.875,5.95,170.0,35100.0,0.30000000000000004,0.0
172,harvey barnes,Barnes,Newcastle,7,MF,65,25,21,7,802,5,3,0,0,2,0,3.6,3.2,0,10,2,0,64,267.3333333333333,160.4,38.19047619047619,12.53125,222.77777777777777,250.625,1.4,-0.20000000000000018
173,eberechi eze,Eze,Crystal Palace,10,MF,70,25,27,24,2055,11,4,1,0,3,0,9.1,5.2,0,28,8,0,136,513.75,186.8181818181818,76.11111111111111,15.110294117647058,225.82417582417582,395.1923076923077,1.9000000000000004,-1.2000000000000002
174,jarell quansah,Quansah,Liverpool,3,DF,45,20,17,13,1190,2,0,0,0,1,0,1.0,0.1,0,15,2,0,49,3510.0,595.0,70.0,24.285714285714285,1190.0,11900.0,1.0,-0.1
175,malo gusto,Gusto,Chelsea,6,DF,50,20,27,19,1751,0,6,0,0,7,1,0.9,4.3,0,28,5,0,74,291.8333333333333,3510.0,64.85185185185185,23.66216216216216,1945.5555555555554,407.2093023255814,-0.9,1.7000000000000002
176,jarrad branthwaite,Branthwaite,Everton,15,DF,50,21,35,35,3116,3,0,0,0,8,0,1.7,1.0,0,44,12,0,124,3510.0,1038.6666666666667,89.02857142857142,25.129032258064516,1832.9411764705883,3116.0,1.3,-1.0
